학교명,시도,행정구,학교급,설립,지역규모,위도,경도,학생수,교원수,정규교원수,기간제교원수,직원수,교원1인당학생수,학생1인당교지면적,기간제비율,정규교원비율,직원당학생수,학생수_log,교지면적_log,cluster,cluster_type,최종유형,과밀score,소멸score,교원밀도_norm,기간제score,과밀등급,소멸등급,기간제등급,과밀target,소멸target,기간제target
공근중학교,강원,횡성군,중학교,공립,면지역,37.54023303,127.963107,39.0,11.0,10.0,1.0,8.0,3.5,481.1,0.09090909090909091,0.9090909090909091,4.875,3.6888794541139363,6.1781515614115765,0,도심밀집형,과밀형,2.1008297033810415,0.05416666666666667,0.12213740458015267,0.10027758501040943,일반,일반,일반,0,0,0
공근초등학교,강원,횡성군,초등학교,공립,면지역,37.53371687,127.9609625,40.0,13.0,13.0,0.0,10.0,3.1,703.5,0.0,1.0,4.0,3.713572066704308,6.557488331338735,0,도심밀집형,과밀형,1.860567778566359,0.04790940766550522,0.10687022900763359,0.03206106870229007,일반,일반,일반,0,0,0
공현진초등학교,강원,고성군,초등학교,공립,면지역,38.35457469,128.5076301,46.0,11.0,11.0,0.0,7.0,4.2,186.0,0.0,1.0,6.571428571428571,3.8501476017100584,5.231108616854587,0,도심밀집형,과밀형,2.522139037433155,0.05230496453900709,0.1488549618320611,0.044656488549618324,일반,일반,일반,0,0,0
관동중학교,강원,강릉시,중학교,공립,시,37.75721724,128.8788335,589.0,43.0,37.0,6.0,16.0,13.7,41.8,0.13953488372093023,0.8604651162790697,36.8125,6.380122536899765,3.756538102587751,3,초과밀형,과밀형,8.229345794392522,0.012211093990755009,0.5114503816793894,0.25110953310846795,일반,일반,일반,0,0,0
관설초등학교,강원,원주시,초등학교,공립,시,37.30874675,127.9760113,40.0,13.0,13.0,0.0,7.0,3.1,248.0,0.0,1.0,5.714285714285714,3.713572066704308,5.517452896464707,0,도심밀집형,과밀형,1.861606425702811,0.04790940766550522,0.10687022900763359,0.03206106870229007,일반,일반,일반,0,0,0
광덕초등학교,강원,화천군,초등학교,공립,면지역,38.06755874,127.4950837,50.0,11.0,11.0,0.0,9.0,4.5,174.8,0.0,1.0,5.555555555555555,3.9318256327243257,5.169346985251076,0,도심밀집형,과밀형,2.7022753128555173,0.051470588235294115,0.1603053435114504,0.04809160305343512,일반,일반,일반,0,0,0
광산초등학교,강원,고성군,초등학교,공립,읍지역,38.37526383,128.4139175,49.0,14.0,13.0,1.0,11.0,3.5,391.0,0.07142857142857142,0.9285714285714286,4.454545454545454,3.912023005428146,5.971261839790462,0,도심밀집형,과밀형,2.1010204081632655,0.043333333333333335,0.12213740458015267,0.08664122137404578,일반,일반,일반,0,0,0
광정초등학교,강원,양양군,초등학교,공립,면지역,38.01858351,128.7251068,24.0,8.0,8.0,0.0,6.0,3.0,385.4,0.0,1.0,4.0,3.2188758248682006,5.9568731023383625,0,도심밀집형,과밀형,1.8010351966873703,0.07555555555555556,0.10305343511450381,0.03091603053435114,일반,TOP5,일반,0,1,0
광판중학교,강원,춘천시,중학교,공립,특수지역,37.7238145,127.6988764,14.0,9.0,8.0,1.0,6.0,1.6,938.5,0.1111111111111111,0.8888888888888888,2.3333333333333335,2.70805020110221,6.84534781885352,0,도심밀집형,과밀형,0.9604257583821181,0.08333333333333334,0.04961832061068703,0.09266327396098387,일반,TOP3,일반,0,1,0
광판초등학교,강원,춘천시,초등학교,공립,특수지역,37.73085734,127.6992277,28.0,8.0,8.0,0.0,11.0,3.5,622.2,0.0,1.0,2.5454545454545454,3.367295829986474,6.4348674945565385,0,도심밀집형,과밀형,2.1006418485237486,0.07279693486590039,0.12213740458015267,0.036641221374045796,일반,TOP5,일반,0,1,0
